contrast	label	matched_DE_gene	baseMean	log2FC	padj	norm_AR0382_A	norm_AR0382_B	norm_AR0382_tnSWI1_A	norm_AR0382_tnSWI1_B	norm_AR0387_A	norm_AR0387_B
AR0382_tnSWI1_vs_AR0382	SCF1_old_B9J08_001458	B9J08_03708	23172.3746532481	-6.81713263829431	0	46988.8443632327	44890.1552079727	383.935331147929	426.563710638899		
AR0382_tnSWI1_vs_AR0382	IFF4109_old_B9J08_004109	B9J08_04863	898.949011733396	-0.303120428974459	0.0392561505045137	1071.99649212871	915.305531891228	748.952109746541	859.541913167105		
AR0382_tnSWI1_vs_AR0382	previous_wrong_SCF1_candidate	B9J08_01458	1953.63490018848	-0.0355066657720104	0.826644511952087	2024.32358222804	1929.95520078041	1951.94948067672	1908.31133706876		
AR0382_tnSWI1_vs_AR0382	previous_wrong_IFF_candidate	B9J08_04109	10198.0658967964	-1.2848036368838	7.90479199716746e-09	12543.1634580876	16378.387889561	6262.04089382435	5608.67134571259		
AR0387_vs_AR0382	SCF1_old_B9J08_001458	B9J08_03708	19427.7510342583	-7.34633321761848	0	39473.4500941133	37761.4014094059			231.376038275174	244.776595238808
AR0387_vs_AR0382	IFF4109_old_B9J08_004109	B9J08_04863	667.354038440316	-0.745379990670471	5.18972213945492e-08	900.541407360459	769.95099352777			478.938877581945	519.98487529109
AR0387_vs_AR0382	previous_wrong_SCF1_candidate	B9J08_01458	1520.06474948611	-0.268973277085291	0.0143476474025194	1700.55333303621	1623.46983879209			1422.53416124737	1333.70166486875
AR0387_vs_AR0382	previous_wrong_IFF_candidate	B9J08_04109	22236.7214136228	1.41049648454912	9.46914444940425e-12	10537.0102945657	13777.4279610158			33025.8349282898	31606.6124706197
