Sample	featurecounts-Assigned	featurecounts-percent_assigned	picard_mark_duplicates-PERCENT_DUPLICATION	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
AR0382_A	22.162226999999998	83.14274636488682	41.036899999999996	25.834391999999998	24.039161999999997	93.05	23.707466	91.77	0.331696														
AR0382_A_forward																		80.5892719821325	48.0	50.49019945836474	51	20.0	26.23906
AR0382_A_reverse																		80.55481027694854	48.0	50.4739414445487	51	20.0	26.23906
AR0382_B	20.130414	85.18738617847215	40.529199999999996	23.36328	21.752354999999998	93.11	21.498492	92.02	0.253863														
AR0382_B_forward																		79.95363007218488	48.0	50.49814052434558	51	20.0	23.724429999999998
AR0382_B_reverse																		79.91447940855926	48.0	50.475841063410165	51	20.0	23.724429999999998
AR0382_tnSWI1_A	18.286752	83.80088233393687	37.8758	21.256375	19.850735	93.39	19.588196999999997	92.15	0.262538														
AR0382_tnSWI1_A_forward																		78.74677616030837	47.0	50.496557413676896	51	20.0	21.590743999999997
AR0382_tnSWI1_A_reverse																		78.32877023018067	48.0	50.472736233637896	51	20.0	21.590743999999997
AR0382_tnSWI1_B	25.270576	83.98768842334707	42.2925	29.40157	27.434016999999997	93.31	27.075971	92.09	0.358046														
AR0382_tnSWI1_B_forward																		81.38889299958808	47.0	50.49961910864029	51	20.0	29.894351
AR0382_tnSWI1_B_reverse																		80.81422327127304	48.0	50.474310179873115	51	20.0	29.894351
AR0387_A	21.231776	77.40221259942098	42.6711	25.110371999999998	23.239099	92.53999999999999	22.80127	90.8	0.43782899999999997														
AR0387_A_forward																		81.34188061707123	48.0	50.49496357860415	51	20.0	25.524969
AR0387_A_reverse																		80.89560770643673	48.0	50.47744579043367	51	20.0	25.524969
AR0387_B	15.721261	76.56781330757771	39.816	21.633027	17.207031	79.53999999999999	16.860155	77.94	0.34687599999999996														
AR0387_B_forward																		80.82497983120135	48.0	50.50691929103629	51	20.0	22.010492
AR0387_B_reverse																		79.87536806737612	48.0	50.48097661787842	51	20.0	22.010492
fastp report for AR0382_A										95.76780000000001	2497.27394	51.668783999999995	48.2799	98.457764874199	0.331296166859636	50.0	50.0						
fastp report for AR0382_B										95.856	2260.95534	46.72656	48.2863	98.47772949655692	0.17972613040650504	50.0	50.0						
fastp report for AR0382_tnSWI1_A										95.8193	2056.141871	42.51275	48.1539	98.45133173734078	0.21116456199934563	50.0	50.0						
fastp report for AR0382_tnSWI1_B										95.7578	2842.4178739999998	58.80314	48.2115	98.35159157661593	0.1706810761671996	50.0	50.0						
fastp report for AR0387_A										95.7869	2428.030561	50.220743999999996	48.3084	98.37571986865098	0.2912363968003252	50.0	50.0						
fastp report for AR0387_B										95.7994	2092.748557	43.266054	48.5611	98.28506786672465	0.07046185064831809	50.0	50.0						
