	AR0382_A	AR0382_B	AR0382_tnSWI1_A	AR0382_tnSWI1_B
B9J08_05594	6.03375136282576	3.34867877521181	6.67713619387703	6.41449188930675
B9J08_05593	321.80007268404	333.751651262777	534.170895510163	596.547745705528
B9J08_05592	16.090003634202	34.603014010522	16.6928404846926	15.2344182371035
B9J08_05591	6.03375136282576	14.5109413592512	123.527019586725	108.244550632051
B9J08_05590	4975.83362387697	4953.81213479667	4997.83644111696	4919.91527909828
B9J08_05589	19.1068793156149	15.6271676176551	27.821400807821	26.4597790433904
B9J08_05588	1290.21716641757	1161.9915349985	1374.37719990636	1279.6911319167
B9J08_05587	104.585023622313	123.901114682837	134.655579909854	186.822076276059
B9J08_05586	52.2925118111566	59.1599916954086	115.737027360535	135.506141161605
B9J08_05585	1560.7303525176	1627.45788475294	1684.86403292164	1674.18238310906
B9J08_05584	1354.57718095438	1587.2737394504	1165.16026583154	1209.13172113432
B9J08_05583	517.896991975877	545.834640359525	612.070817772061	602.962237594835
B9J08_05582	1338.48717732018	1240.12737308677	1405.53716881112	1386.33205957642
B9J08_05581	1244.96403119638	1197.71077526742	1097.27604786046	1091.26543266831
B9J08_05580	7451.68293308981	7256.58690588399	7502.87536985316	7919.49204883535
B9J08_05579	2189.24611947861	2114.13253341706	2028.73654690631	1813.69758170148
B9J08_05578	4677.1629314171	4442.58050844767	4334.57424585851	4467.69360090215
B9J08_05577	1178.5927662053	1227.84888424433	1404.4243127788	1414.39546159214
B9J08_05576	42532.9189817859	50222.3680443683	19050.9824171635	18682.2076276059
B9J08_05575	289.620065415636	312.543352353102	220.345494397942	231.723519501206
B9J08_05574	247.383805875856	284.637695893004	189.185525493183	182.011207359079
B9J08_05573	463.593229710446	407.422584317437	282.665432207461	293.463003935784
B9J08_05572	3104.36507617385	3077.43579441965	3054.78980869874	3256.15644530934
B9J08_05571	426.385096306353	472.163707304865	492.995222314588	546.835433563401
B9J08_05570	1387.76281344992	1390.8179179713	1231.93162777031	1318.9798947387
B9J08_05569	720.02766263054	658.573492458322	796.804919135993	731.25207538097
B9J08_05568	392.193838583674	395.144095474993	368.35534669555	416.941972804939
B9J08_05567	86.4837695338358	103.809042031566	141.332716103731	136.307952647768
B9J08_05566	921.152708058065	852.796861420607	888.059113785646	861.947347625595
B9J08_05565	1777.94540157932	1633.03901604496	1562.44986936723	1644.51535812102
B9J08_05564	518.902617203015	513.464078865811	524.155191219347	453.023489682289
B9J08_05563	1884.54167565591	1963.44198853252	1858.46957396244	1990.89792014358
