	AR0382_A	AR0382_B	AR0387_A	AR0387_B
B9J08_05417	13.5165689660106	11.2675755150405	1.90432953312901	7.93870038612351
B9J08_05416	3015.88445054113	3051.63503532348	2821.26420333062	3122.55548520858
B9J08_05415	151.216615307244	159.623986463074	139.016055918417	137.604140026141
B9J08_05414	3605.54477168334	3613.135881823	3510.63149432332	3571.09205702456
B9J08_05413	1889.78529856036	1651.63877757969	2085.24083877626	1991.29068018598
B9J08_05412	27.0331379320213	40.3754789288953	38.0865906625801	44.9859688546999
B9J08_05411	6857.12439356928	6923.92515399241	5532.07729373977	5785.98946475302
B9J08_05410	888.7144095152	974.645282051006	1147.35854371023	1098.18688674709
B9J08_05409	13649.2002989896	13116.3968641334	13758.7808768571	13579.1470104643
B9J08_05408	787.34014227012	789.669250679091	756.018824652216	669.497065896416
B9J08_05407	489.13083945751	486.38367639925	507.50382057888	519.98487529109
B9J08_05406	707.085514034432	777.462710537797	733.166870254668	689.343816861725
B9J08_05405	634.433955842125	599.059431549655	720.788728289329	727.714202061322
B9J08_05404	2466.77383629694	2177.45896828158	2129.99258280479	1948.95094479332
B9J08_05403	352.275578676652	329.576583814936	315.166537732851	345.333466796373
B9J08_05402	6272.53278578932	6143.64554957585	6387.12125411469	6627.49170568211
B9J08_05401	1348.27775435956	1224.40987263441	1208.29708877035	1115.38740425035
B9J08_05400	6492.17703148699	6689.18399742907	7007.93268191474	7163.35398174545
B9J08_05399	60.8245603470479	61.971665332723	56.1777212273057	42.3397353926587
B9J08_05398	17.740496767889	12.2065401412939	13.330306731903	9.2618171171441
B9J08_05397	1484.28822958004	1405.63004550131	1152.11936754305	1172.28142368424
B9J08_05396	734.118651966453	688.261071043726	737.92769408749	766.084587260919
B9J08_05395	435.064563593468	490.139534904263	527.499280676735	570.263311069872
B9J08_05394	1083.85987396198	1114.55101136276	1340.64799132282	1283.42322908997
B9J08_05393	387.75657221243	446.008197470355	560.825047506493	543.800976449461
B9J08_05392	746.790435372088	860.091597648094	1652.95803475598	1862.94835727698
B9J08_05391	924.195403050978	941.781520132138	530.355774976428	539.831626256399
B9J08_05390	1186.07892676743	1109.85618823149	1174.9713219406	1172.28142368424
B9J08_05389	2026.64055934122	1990.60500765716	1668.19267102101	1622.14111223124
B9J08_05388	0	0	0	0
B9J08_05387	48.1527769414129	43.1923728076554	67.6036984260797	52.9246692408234
B9J08_05386	750.169577613591	788.730286052838	924.551988334133	821.655489963783
B9J08_05385	3025.17709170526	3091.07154962612	2156.6531962686	2230.77480850071
B9J08_05384	2021.57184597897	1913.60990830438	2113.8057817732	2093.17066847457
B9J08_05383	1091.46294400536	991.546645323567	1023.57712405684	951.320929603801
B9J08_05382	278.77923492397	369.952062743831	667.467501361717	564.97084414579
B9J08_05381	3864.89393871867	3921.11627923411	4343.77566506726	4222.06548868669
B9J08_05380	665.691021576024	658.214203003618	759.827483718474	740.945369371528
B9J08_05379	1170.87278668067	1181.21749982675	1263.5226452311	1307.23933024834
B9J08_05378	2046.07062722986	2085.44043490875	2347.0861495815	2322.06986294113
B9J08_05377	58483.6595592469	57719.0945404214	58554.3244846507	56483.8532472688
B9J08_05376	486.596482776383	524.881226075638	328.496844464754	306.963081596776
B9J08_05375	6923.01766727858	7068.52570643543	7912.48921015102	7352.55967428139
B9J08_05374	3274.38883201608	3474.1691171375	3776.28546419482	3772.20580013969
B9J08_05373	20050.140489956	20599.0059707466	21087.5930851041	21069.3108247718
B9J08_05372	1347.43296879919	1359.62077881489	1346.36097992221	1332.37854813773
B9J08_05371	990.933462320656	1138.96409164535	1089.27649294979	993.66066499646
B9J08_05370	546.576257563055	607.510113185936	687.462961459571	713.159918020095
B9J08_05369	1920.19757873389	2003.75051242471	1973.83756108822	1787.53070360881
B9J08_05368	1408.25752914623	1521.12269453047	1612.0149497937	1648.60344685165
B9J08_05367	2106.89518757691	2266.66060777565	2339.46883144898	2495.39815470482
B9J08_05366	538.973187519675	521.125367570625	1313.98737785901	1570.53955972143
B9J08_05365	785.650571149369	762.439276517743	814.10087541265	944.705345948698
B9J08_05364	5058.57593552948	4873.22641025503	5124.55077365016	4973.59579190638
B9J08_05363	1655.7796983363	1672.29599935727	1790.06976114127	1522.90735740469
B9J08_05362	414.789710144452	508.918827429331	763.636142784732	706.544334364993
B9J08_05361	8433.49424923027	8731.43205953016	9370.25346776128	8363.42085678112
B9J08_05360	32947.4816402113	35218.6852015117	32297.428881868	30962.2546226127
B9J08_05359	12926.9086448684	13612.1701867952	13816.8629276175	12944.0509795744
B9J08_05358	4346.4217081328	4389.65962773454	4784.62795198663	4596.50752356551
B9J08_05357	2737.95000117753	2798.11458623507	3184.0389793917	2984.95134518244
B9J08_05356	2237.83694943514	2208.44480094795	2429.92448427261	2281.05324427949
B9J08_05355	23991.9099146689	24043.128219844	24490.6299608056	23712.8980533509
B9J08_05354	598.952962306347	555.867058742	646.519876497298	665.527715703354
B9J08_05353	591.349892262966	539.904660095692	635.093899298524	583.494478380078
B9J08_05352	7603.91482894136	7649.74481008627	8702.78596639956	8321.08112138846
B9J08_05351	1583.128140144	1517.36683602546	1592.97165446241	1581.1244935696
B9J08_05350	1090.61815844498	1086.38207257516	1261.61831569797	1165.66584002914
B9J08_05349	1949.76507334704	2023.46876957603	2148.08371336952	2120.956119826
B9J08_05348	1644.79748605142	1647.88291907468	1608.20629072745	1753.12966860228
B9J08_05347	325.242440744631	330.515548441189	350.396634095737	340.04099987229
B9J08_05346	1667.60669618156	1730.51180618498	1827.20418703728	1951.59717825536
B9J08_05345	473.079913810373	562.439811125774	594.15081433625	607.310579538449
B9J08_05344	2270.78358628979	2440.36906363253	1688.18813111886	1610.23306165205
B9J08_05343	61.6693459074236	65.7275238377365	35.2300963628866	37.0472684685764
B9J08_05342	254.280453673075	270.421812360973	264.701805104932	281.823863707385
B9J08_05341	0	0	0	0
B9J08_05340	70.1172015111802	69.48338234275	112.355442454611	130.988556371038
B9J08_05339	5554.46505947	5531.44061325865	5682.51932685696	5594.13753875503
B9J08_05338	1981.86692464131	2147.41210024148	2161.41402010142	2426.59608469175
B9J08_05337	9756.42843677856	9560.5378245119	10011.0603556592	10677.5520193361
B9J08_05336	1713.22511644185	1769.00935586136	1387.30406488448	1391.91880103366
B9J08_05335	1358.41518108407	1284.50360871462	872.182926173085	918.243011328286
B9J08_05334	768.754859941855	773.706852032784	767.44480185099	822.978606694804
B9J08_05333	4627.73529973789	4623.46181967163	4707.50260589491	4530.35168701448
B9J08_05332	24973.5507358254	25723.8749008375	25114.2978829053	27123.892985922
B9J08_05331	5712.43995926025	5571.81609218755	5224.52807413943	5396.99314583297
B9J08_05330	0	0	0	0
B9J08_05329	5.91349892262966	2.81689387876013	2.85649429969351	6.61558365510293
B9J08_05328	1752.93003777951	1567.13196121689	1718.65740364893	1817.96238842228
B9J08_05327	4296.57936007063	4132.38332014112	4498.02635725071	4584.59947298633
B9J08_05326	2587.57817143066	2451.63663914757	2440.39829670482	2454.38153604319
B9J08_05325	6726.18263171105	6775.56874304438	5581.58986160112	6839.19038264541
B9J08_05324	443.512419197224	476.994030136716	423.713321121204	419.428003733526
B9J08_05323	794.098426753125	780.279604416557	741.736353153748	706.544334364993
B9J08_05322	3516.8422878439	3485.43669265254	3588.70900518161	3551.24530605925
B9J08_05321	808.459781279512	788.730286052838	806.483557280134	862.672108625422
B9J08_05320	360.723434280409	331.454513067442	393.24404859114	374.442034878826
B9J08_05319	52.3767047432912	50.7040898176824	75.2210165585958	99.2337548265439
B9J08_05318	1926.11107765652	2016.89601719226	1585.3543363299	1710.78993320962
B9J08_05317	5552.77548834925	5223.46021584754	5667.28469059192	5386.4082119848
B9J08_05316	829.579420288903	681.688318659953	564.63370657275	631.126680696819
B9J08_05315	354.809935357779	351.172770218763	243.754180240513	193.175042729005
B9J08_05314	683.431518343913	592.486679165882	1952.8899362238	2278.40701081745
B9J08_05313	3568.37420702681	3489.19255115755	3743.91186213163	3317.05364466861
B9J08_05312	441.822848076473	465.726454621676	247.562839306771	313.578665251879
B9J08_05311	3877.5657221243	3772.75986828607	3951.48378124269	3749.71281571234
B9J08_05310	789.874498951247	753.988594881463	678.893478560491	627.157330503757
B9J08_05309	1157.35621771466	1135.20823314033	1174.9713219406	1114.06428751933
B9J08_05308	3795.62152276786	4185.90430383756	3163.09135452728	2999.50562922367
B9J08_05307	59.9797747866722	66.6664884639899	45.7039087950962	47.6322023167411
B9J08_05306	816.062851322893	862.908491526855	905.508693002843	984.398847879315
B9J08_05305	14.3613545263863	17.8403278988142	16.1868010315966	21.1698676963294
B9J08_05304	534.749259717796	506.101933550571	395.148378124269	443.244104891896
B9J08_05303	761.99657545885	780.279604416557	702.697597724603	752.853419950713
B9J08_05302	168.957112075133	152.112269453047	103.785959555531	120.403622522873
B9J08_05301	15765.3881277307	15322.9637358289	13672.1338830997	15590.2844416156
B9J08_05300	6275.91192803082	6016.88532503165	5703.46695172138	6357.57589255391
B9J08_05299	3552.32328137967	3782.14951454861	3819.13287869022	3977.28889344788
B9J08_05298	139.389617461985	132.394012301726	151.394197883756	104.526221750626
B9J08_05297	2611.23216712118	2746.47153179113	2389.9335640769	2353.82466448562
B9J08_05296	1134.54700758452	1082.62621407014	921.695494034439	998.953131920542
B9J08_05295	1055.98195046958	993.424574576074	934.073635999778	969.844563838089
B9J08_05294	1394.74096018022	1268.54121006831	1153.07153230961	1153.75778944995
B9J08_05293	342.138151952144	360.562416481297	332.305503531012	367.826451223723
B9J08_05292	212.041175654292	175.586385109382	187.576459013207	191.851925997985
B9J08_05291	1972.57428347718	1964.31399812207	1598.6846430618	1373.39516679937
B9J08_05290	4876.94704004872	4473.22747947109	3823.89370252305	4466.8420839255
B9J08_05289	132.631332978979	140.844693938007	105.69028908866	152.158424067367
B9J08_05288	2744.70828566054	2820.64973726515	2575.60569355698	2511.27555547707
B9J08_05287	38790.0185757694	37740.7441876283	39581.4893460864	38399.4937676794
B9J08_05286	21998.2159921823	22294.7760857602	19573.6511062665	20903.9212333942
B9J08_05285	1099.06601404874	1083.5651786964	995.012181059906	1128.61857156056
B9J08_05284	569.385467693198	560.561881873267	403.717861023349	451.18280527802
B9J08_05283	3968.80256264488	4160.55225892872	4040.98726929975	4468.16520065652
B9J08_05282	912.368405205719	953.988060273432	840.761488876456	964.552096914007
B9J08_05281	813.528494641766	810.326472456665	908.365187302536	1014.83053269279
B9J08_05280	410.565782342573	447.886126722861	415.143838222123	406.19683642332
B9J08_05279	212.041175654292	195.304642260703	182.815635180385	218.314260618397
B9J08_05278	3314.09375335374	3393.41815927971	3312.58122287791	3412.31804930209
B9J08_05277	303.278016174864	323.003831431162	322.783855865367	292.408797555549
B9J08_05276	171.49146875626	168.074668099355	146.633374050934	160.097124453491
B9J08_05275	497.578695061267	493.895393409277	465.608570850042	414.135536809443
B9J08_05274	1630.43613152503	1527.69544691425	1406.34736021577	1608.90994492103
B9J08_05273	3328.45510788012	3267.59689936176	3140.23940012973	3617.40114261028
B9J08_05272	1617.7643481194	1615.01915715581	1413.96467834829	1704.17434955451
B9J08_05271	4827.10469198655	4974.6345898904	6652.77522398618	7773.31079474594
B9J08_05270	823.665921366274	955.865989525939	1504.42033117192	1700.20499936145
B9J08_05269	347.206865314398	316.431079047388	193.289447612594	195.821276191047
B9J08_05268	5078.00600341812	5091.06620354582	3653.456209308	4185.01822021811
B9J08_05267	287.227090527726	239.435979694611	161.868010315966	178.620758687779
B9J08_05266	217.954674576922	249.764590583399	145.681209284369	150.835307336347
B9J08_05265	81.9441993564395	90.1406041203243	76.1731813251603	83.3563540542969
B9J08_05264	324.397655184255	400.937895410192	327.544679698189	297.701264479632
B9J08_05263	425.771922429335	449.764055975368	300.884066234383	310.932431789838
B9J08_05262	336.224653029515	295.773857269814	212.332742943884	243.453478507788
B9J08_05261	1.68957112075133	2.81689387876013	4.76082383282252	3.96935019306176
B9J08_05260	38.0153502169049	37.5585850501351	1.90432953312901	2.64623346204117
B9J08_05259	755.238290975845	805.631649325398	609.385450601282	660.235248779272
B9J08_05258	441.822848076473	636.61801659979	1976.69405538791	2020.39924826843
B9J08_05257	4.22392780187833	5.63378775752027	5.71298859938702	3.96935019306176
B9J08_05256	411.410567902949	397.182036905179	240.897685940819	255.361529086973
B9J08_05255	1697.17419079471	1663.84531772099	2254.72616722474	2367.05583179583
B9J08_05254	97.1503394432015	133.33297692798	280.888606136528	314.901781982899
B9J08_05253	1477.52994509704	1793.42243614395	4346.63215936696	4638.84725895817
B9J08_05252	5.06871336225399	18.7792925250676	14.2824714984676	18.5236342342882
B9J08_05251	74.3411293130585	50.7040898176824	52.3690621610477	63.5096030889881
B9J08_05250	13.5165689660106	14.0844693938007	15.2346362650321	13.2311673102059
B9J08_05249	15.206140086762	22.5351510300811	36.1822611294511	29.1085680824529
B9J08_05248	89.5472693998205	112.675755150405	99.0251357227084	99.2337548265439
B9J08_05247	0.844785560375665	0	2.85649429969351	0
B9J08_05246	0	0	0	0
B9J08_05245	169.801897635509	260.093201472186	80.9340051579828	91.2950544404204
B9J08_05244	544.886686442304	476.994030136716	362.774776061076	395.611902575155
B9J08_05243	35.4809935357779	25.3520449088412	43.7995792619672	47.6322023167411
B9J08_05242	358.189077599282	413.144435551486	187.576459013207	230.222311197582
B9J08_05241	2.534356681127	5.63378775752027	1.90432953312901	9.2618171171441
B9J08_05240	37.1705646565293	47.8871959389223	30.4692725300641	15.877400772247
B9J08_05239	125.028262935598	120.187472160432	129.494408252772	182.590108880841
B9J08_05238	3.37914224150266	3.75585850501351	1.90432953312901	0
B9J08_05237	4.22392780187833	1.87792925250676	0.952164766564503	9.2618171171441
B9J08_05236	207.817247852414	178.403278988142	132.350902552466	132.311673102059
B9J08_05235	2.534356681127	4.69482313126689	6.66515336595152	0
B9J08_05234	299.054088372986	310.797291289868	455.134758417833	473.67578970537
B9J08_05233	0.844785560375665	2.81689387876013	0.952164766564503	0
B9J08_05232	451.960274800981	424.412011066527	180.911305647256	234.191661390644
B9J08_05231	3.37914224150266	1.87792925250676	1.90432953312901	2.64623346204117
B9J08_05230	1811.22024144543	1887.31889876929	1978.59838492104	1954.2434117174
B9J08_05229	7.60307004338099	8.4506816362804	18.0911305647256	6.61558365510293
B9J08_05228	103.063838365831	96.7133565040979	114.25977198774	119.080505791853
B9J08_05227	400.428355618065	415.022364803993	525.594951143606	481.614490091493
