	AR0382_A	AR0382_B	AR0387_A	AR0387_B
B9J08_05594	5.06871336225399	2.81689387876013	6.66515336595152	7.93870038612351
B9J08_05593	270.331379320213	280.75042324976	328.496844464754	342.687233334332
B9J08_05592	13.5165689660106	29.1079034138547	152.346362650321	203.75997657717
B9J08_05591	5.06871336225399	12.2065401412939	52.3690621610477	39.6935019306176
B9J08_05590	4179.99895273879	4167.12501131249	4653.22921420073	4534.32103720755
B9J08_05589	16.0509256471376	13.1455047675473	11.425977198774	6.61558365510293
B9J08_05588	1083.85987396198	977.462175929767	920.743329267875	972.49079730013
B9J08_05587	87.8576982790692	104.225073514125	40.9430849622736	31.754801544494
B9J08_05586	43.9288491395346	49.765125191429	32.3736020631931	41.0166186616381
B9J08_05585	1311.10718970303	1369.01042507743	1403.49086591608	1230.49855984914
B9J08_05584	1137.92614982602	1335.2076985323	1853.86480050109	2269.1451937003
B9J08_05583	435.064563593468	459.153702237902	482.747536648203	461.767739126184
B9J08_05582	1124.40958086001	1043.1896997675	1205.44059447066	1227.8523263871
B9J08_05581	1045.84452374507	1007.50904396987	1185.44513437281	1178.89700733934
B9J08_05580	6259.86100238368	6104.20903527321	6374.74311214935	6578.53638663435
B9J08_05579	1839.09816493782	1778.3990021239	2062.38888437871	2024.3685984615
B9J08_05578	3929.09764130722	3737.07921248844	3658.21703314082	3713.98866397478
B9J08_05577	990.08867676028	1032.86108887872	1117.84143594673	1279.45387889691
B9J08_05576	35730.2052760888	42246.8354290182	81448.1741319276	86953.9084459419
B9J08_05575	243.298241388192	262.910095350946	328.496844464754	268.592696397179
B9J08_05574	207.817247852414	239.435979694611	349.444469329173	337.394766410249
B9J08_05573	389.446143333182	342.722088582483	445.613110752188	474.99890643639
B9J08_05572	2607.85302487968	2588.72547458056	2740.33019817264	2818.23863707385
B9J08_05571	358.189077599282	397.182036905179	428.474144954027	526.600458946193
B9J08_05570	1165.80407331842	1169.94992431171	350.396634095737	406.19683642332
B9J08_05569	604.866461228976	553.989129489493	666.515336595152	649.650314931107
B9J08_05568	329.46636854651	332.393477693696	201.858930511675	248.74594543187
B9J08_05567	72.6515581923072	87.3237102415642	59.0342155269992	55.5709027028646
B9J08_05566	773.823573304109	717.368974457581	831.239841210812	848.117824584195
B9J08_05565	1493.58087074418	1373.70524820869	1342.55232085595	1456.75152085366
B9J08_05564	435.909349153843	431.923728076554	440.852286919365	398.258136037196
B9J08_05563	1583.128140144	1651.63877757969	1583.45000679677	1615.52552857613
B9J08_05562	9.29264116413232	5.63378775752027	9.52164766564503	0
B9J08_05561	1558.6293588931	1652.57774220595	1714.84874458267	1467.33645470183
B9J08_05560	4407.24626847985	4359.61275969443	4523.73480594796	4961.68774132719
B9J08_05559	71.8067726319316	77.9340639790304	97.1208061895793	88.6488209783792
B9J08_05558	6823.33297115425	7044.11262615284	7127.90544250187	7146.15346424218
B9J08_05557	2588.42295699104	2733.32602702358	3112.62662189936	2965.10459421713
B9J08_05556	266.107451518335	263.849059977199	197.098106678852	194.498159460026
B9J08_05555	1372.77653561046	1371.82731895619	1089.27649294979	1149.78843925689
B9J08_05554	1000.22610348479	982.156999061034	748.4015065197	821.655489963783
B9J08_05553	1072.87766167709	1124.87962225155	1569.1675352983	1847.07095650474
B9J08_05552	821.976350245522	885.443642556936	1507.27682547161	1577.15514337654
B9J08_05551	738.342579768332	829.105764981733	545.59041124146	583.494478380078
B9J08_05550	2345.12471560285	2478.86661330892	830.287676444247	837.53289073603
B9J08_05549	756.927862096596	747.415842497689	696.032444358652	688.020700130704
B9J08_05548	1342.36425543693	1338.96355703732	1335.88716749	1272.8382952418
B9J08_05547	393.67007113506	427.228904945287	373.248588493285	369.149567954743
B9J08_05546	3306.49068331035	3919.2383499816	6154.79305107295	6741.27974454988
B9J08_05545	265.262665957959	289.20110488604	243.754180240513	273.885163321261
B9J08_05544	2334.98728887834	2421.58977110746	2278.53028638886	2254.59090965908
B9J08_05543	785.650571149369	977.462175929767	934.073635999778	1190.80505791853
B9J08_05542	4725.73042474147	4831.91196669988	7293.5821118841	7197.75501675198
B9J08_05541	255.125239233451	205.63325314949	107.594618621789	132.311673102059
B9J08_05540	385.222215531303	408.449612420219	474.178053749123	457.798388933123
B9J08_05539	670.759734938278	729.575514598875	1114.98494164703	1087.60195289892
B9J08_05538	1265.48876944275	1150.23166716039	923.599823567568	830.917307080928
B9J08_05537	2808.91198824909	2665.72057393334	2322.32986565082	2295.60752832072
B9J08_05536	2872.27090527726	2958.67753732439	2625.11826141834	2798.39188610854
B9J08_05535	2410.17320375177	2443.18595751129	2036.68043568147	2259.88337658316
B9J08_05534	93.7711972016989	78.8730286052838	24.7562839306771	34.4010350065352
B9J08_05533	258.504381474954	220.656687169544	253.275827906158	223.606727542479
B9J08_05532	631.899599160998	670.420743144912	672.228325194539	815.039906308681
B9J08_05531	2221.786023788	2076.98975327247	2399.45521174255	2254.59090965908
B9J08_05530	1661.69319725893	1657.27256533721	1866.24294246643	1696.23564916839
B9J08_05529	6738.85441511668	8415.93994510903	7260.25634505434	7671.43080645735
B9J08_05528	656.398380411892	699.528646558767	599.863802935637	702.574984171931
B9J08_05527	3317.47289559524	3370.88300824963	3232.59938248649	3127.84795213266
B9J08_05526	0	0	0	0
B9J08_05525	478.993412733002	518.308473691865	302.788395767512	234.191661390644
B9J08_05524	698.637658430675	703.28450506378	542.733916941767	615.249279924572
B9J08_05523	412.255353463325	385.914461390138	310.405713900028	299.024381210652
B9J08_05522	2595.18124147404	2840.36799441647	3385.89790990337	3586.96945779681
B9J08_05521	422.392780187833	412.205470925233	472.273724215994	463.090855857205
B9J08_05520	300.743659493737	329.576583814936	224.710884909223	215.668027156355
B9J08_05519	23.6539956905186	23.4741156563345	31.4214372966286	46.3090855857205
B9J08_05518	1790.10060243603	1635.67637893338	1597.73247829524	1570.53955972143
B9J08_05517	6.75828448300532	8.4506816362804	7.61731813251603	2.64623346204117
B9J08_05516	2116.18782874104	1862.9058184867	2061.43671961215	1923.81172690393
B9J08_05515	6017.40754655586	5645.99429766156	5195.01096637593	5418.1630135293
B9J08_05514	895.472693998205	912.673616718283	643.663382197604	654.94278185519
B9J08_05513	1205.50899465607	1290.13739647214	1293.0397529946	1234.46791004221
B9J08_05512	1747.86132441725	1773.70417899263	1801.49573834004	1668.45019781696
B9J08_05511	3326.76553675937	3276.98654562429	3101.20064470059	3270.74455908289
B9J08_05510	677.518019421284	661.031096882378	616.050603967234	583.494478380078
B9J08_05509	1834.02945157557	2023.46876957603	1009.29465255837	1213.29804234588
B9J08_05508	92.9264116413232	135.210906180486	108.546783388353	112.46492213675
B9J08_05507	1580.59378346287	1575.58264285317	1847.19964713514	1825.90108880841
B9J08_05506	3921.49457126384	3995.29448470812	4931.26132603756	5561.05962047952
B9J08_05505	3773.6570981981	3654.45032537815	3444.93212543037	3609.46244222416
B9J08_05504	2953.37031907333	3023.46609653588	3201.17794518986	3297.2068937033
B9J08_05503	16337.307952105	15440.3343141105	11405.9817386762	11914.6661628404
B9J08_05502	47.3079913810373	66.6664884639899	47.6082383282252	67.4789532820498
B9J08_05501	2039.31234274686	2212.20065945296	2400.40737650911	2416.01115084359
B9J08_05500	531.370117476294	512.674685934344	559.872882739928	498.815007594761
B9J08_05499	593.039463383717	603.754254680922	521.786292077348	506.753707980884
B9J08_05498	945.315042060369	976.523211303513	875.991585239343	879.872626128689
B9J08_05497	507.716121785775	459.153702237902	395.148378124269	402.227486230258
B9J08_05496	1587.35206794588	1752.1079925888	1473.95105864185	1738.57538456105
B9J08_05495	1517.2348664347	1417.8365856426	1179.73214577342	1323.11673102059
B9J08_05494	7940.13948197088	7527.67940867333	7942.95848268109	7985.00947170923
B9J08_05493	3115.56914666545	2828.16145427517	2831.73801576283	2733.55916628853
B9J08_05492	135.165689660106	119.248507534179	149.489868350627	130.988556371038
B9J08_05491	51092.6306915202	69008.2662418658	145183.227111456	158199.775061207
B9J08_05490	2278.38665633317	3614.07484644925	18473.9008008845	20582.4038677562
B9J08_05489	143.613545263863	159.623986463074	112.355442454611	104.526221750626
B9J08_05488	12336.4035381658	13761.4655623695	14564.3122693706	15934.2947916809
B9J08_05487	8174.98986775531	9139.88167195038	11831.5993893305	12783.9538551209
B9J08_05486	3306.49068331035	3069.47536322229	2681.29598264564	2836.76227130814
B9J08_05485	644.571382566633	689.20003566998	713.171410156813	680.081999744581
B9J08_05484	871.818698307687	926.758086112084	1007.39032302524	993.66066499646
B9J08_05483	6457.54082351159	6290.12403127138	7052.68442594328	7119.69112962177
B9J08_05482	353.965149797404	361.501381107551	355.15745792856	317.54801544494
B9J08_05481	367.481718763414	369.952062743831	351.348798862302	292.408797555549
B9J08_05480	1771.51532010777	1767.13142660886	1827.20418703728	1930.42731055903
B9J08_05479	1998.76263584882	1912.67094367813	1818.6347041382	1586.41696049368
B9J08_05478	191.766322205276	195.304642260703	131.398737785901	177.297641956758
B9J08_05477	4484.12175447403	4410.31684951212	4378.05359666359	4521.08986989734
B9J08_05476	1214.80163582021	1253.51777604826	1132.12390744519	1243.72972715935
B9J08_05475	0.844785560375665	6.57275238377365	1.90432953312901	7.93870038612351
B9J08_05474	2794.5506337227	2907.97344750671	3651.55187977487	3973.31954325482
B9J08_05473	327.776797425758	348.355876340003	303.740560534077	329.456066024126
B9J08_05472	1003.60524572629	980.279069808527	931.217141700084	924.858594983389
B9J08_05471	775.513144424861	803.753720072892	565.585871339315	551.739676835584
B9J08_05470	6.75828448300532	15.023434020054	5.71298859938702	9.2618171171441
B9J08_05469	13392.3854886354	14343.6236306466	15569.7982628628	16818.1367680027
B9J08_05468	730.73950972495	611.265971690949	618.907098266927	625.834213772737
B9J08_05467	66.7380592696776	84.506816362804	63.7950393598217	46.3090855857205
B9J08_05466	358.189077599282	341.78312395623	284.697265202787	261.977112742076
B9J08_05465	272.020950440964	246.008732078385	207.571919111062	187.882575804923
B9J08_05464	626.830885798744	624.411476458496	558.920717973363	635.096030889881
B9J08_05463	8962.33001002543	9191.52472639432	9404.5313993576	10157.567144045
B9J08_05462	266.95223707871	249.764590583399	279.936441369964	329.456066024126
B9J08_05461	5286.66803683091	7261.95241944363	24171.6547640065	23964.2902322448
B9J08_05460	4634.4935842209	4628.1566428029	4117.16045062491	4349.08469486466
B9J08_05459	2303.73022314444	2373.70257516854	3210.69959285551	3359.39338006127
B9J08_05458	1180.1654278448	1084.50414332265	770.301296150683	744.91471956459
B9J08_05457	1239.3004170711	1261.96845768454	1309.22655402619	1209.32869215281
B9J08_05456	249.211740310821	246.947696704638	179.959140880691	182.590108880841
B9J08_05455	1341.51946987656	1322.06219376476	1463.47724620964	1579.80137683858
B9J08_05454	2983.78259924685	2981.21268835448	2635.59207385055	2618.44801068974
B9J08_05453	4126.77746243513	3879.80183567896	4254.2721770102	4599.15375702755
B9J08_05452	1871.2000162321	1758.68074497258	2388.02923454377	2132.86417040518
B9J08_05451	408.876211221822	394.365143026419	524.642786377041	535.862276063337
B9J08_05450	1458.94466276877	1289.19843184589	1290.1832586949	1476.59827181897
B9J08_05449	2166.03017680321	2432.8573466225	3496.34902282486	3696.78814647152
B9J08_05448	1038.24145370169	1136.14719776659	1094.03731678261	1020.12299961687
B9J08_05447	449.425918119854	533.331907711919	552.255564607412	567.617077607831
B9J08_05446	5934.61856163905	6036.60358218297	6297.61776605762	6511.0574333523
B9J08_05445	7773.71672657687	7452.56223857306	11284.1046485559	12753.5221703074
B9J08_05444	619.227815755363	715.491045205074	613.19410966754	531.892925870275
B9J08_05443	483.217340534881	521.125367570625	521.786292077348	447.213455084958
B9J08_05442	769.599645502231	752.110665628956	722.693057822458	803.131855729495
B9J08_05441	348.051650874774	348.355876340003	208.524083877626	207.729326770232
B9J08_05440	3219.47777059166	3420.64813344106	3314.48555241104	3290.5913100482
B9J08_05439	15167.2799509847	14868.5048567222	13583.5825598092	16222.7342390434
B9J08_05438	3825.18901738101	3709.8492383271	3957.19676984208	3833.06916976664
B9J08_05437	1.68957112075133	3.75585850501351	3.80865906625801	1.32311673102059
B9J08_05436	2788.63713480007	2606.56580247938	2571.79703449072	2548.32282394565
B9J08_05435	424.082351308584	474.177136257956	495.125678613542	498.815007594761
B9J08_05434	4199.42902062743	4241.30321678651	3634.41291397671	3667.67957838906
B9J08_05433	1639.72877268917	2134.26659547393	1972.88539632165	2419.98050103665
B9J08_05432	41921.638648082	41698.4800872863	44391.8257467703	48967.2270983408
B9J08_05431	2759.9144257473	2713.60776987226	3030.74045197481	2812.94617014976
B9J08_05430	39150.7420100498	40394.2582214203	38065.6430377157	40246.5647241842
B9J08_05429	154.595757548747	110.797825897899	227.567379208916	227.576077735541
B9J08_05428	0	0	0	0
B9J08_05427	136.010475220482	172.769491230622	51.4168973944832	56.8940194338852
B9J08_05426	0	0	0	0
B9J08_05425	180.784109920392	175.586385109382	136.159561618724	127.019206177976
B9J08_05424	3739.86567578307	3513.60563144014	3402.08471093497	3535.367905287
B9J08_05423	48.1527769414129	54.4599483226959	60.9385450601282	68.8020700130704
B9J08_05422	642.881811445881	734.270337730142	648.424206030427	594.079412228243
B9J08_05421	4076.93511437296	3995.29448470812	3562.04839171781	3760.2977495605
B9J08_05420	294.830160571107	297.651786522321	281.840770903093	265.946462935138
B9J08_05419	804.235853477633	860.091597648094	877.895914772472	938.089762293595
B9J08_05418	717.22294075894	701.406575811273	1061.66371471942	1030.70793346504
