contrast	gene_label	GeneID	baseMean	log2FC	padj	interpretation
AR0382_tnSWI1_vs_AR0382	SCF1	B9J08_01458	1953.63490018848	-0.0355066657720104	0.826644511952087	not significant, down
AR0382_tnSWI1_vs_AR0382	IFF4109	B9J08_04109	10198.0658967964	-1.2848036368838	7.90479199716746e-09	significant, down
AR0387_vs_AR0382	SCF1	B9J08_01458	1520.06474948611	-0.268973277085291	0.0143476474025194	significant, down
AR0387_vs_AR0382	IFF4109	B9J08_04109	22236.7214136228	1.41049648454912	9.46914444940425e-12	significant, up
